D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
2.786172344689379,0.9186354441998689
2.7870741482965933,0.9178606840081303
2.7879759519038076,0.9169954899897315
2.788877755511022,0.916033031410571
2.7897795591182364,0.9149669343677408
2.7906813627254508,0.9137879813954355
2.791583166332665,0.9124924116685634
2.7924849699398795,0.9110724354386325
2.7933867735470943,0.9095217694297755
2.7942885771543087,0.9078386321352717
2.795190380761523,0.9060155910414633
2.7960921843687374,0.9040481487329178
2.796993987975952,0.9019326695312889
2.797895791583166,0.89966677833007
2.798797595190381,0.8972464909695922
2.7996993987975953,0.8946683423433119
2.8006012024048097,0.8919307828567956
2.801503006012024,0.8890306369372641
2.8024048096192384,0.8859663849216423
2.803306613226453,0.8827370622495814
2.804208416833667,0.879339226672205
2.8051102204408815,0.8757725800684725
2.8060120240480964,0.8720336672225306
2.8069138276553107,0.8681238689489711
2.807815631262525,0.8640392480309511
2.8087174348697395,0.859780573353358
2.809619238476954,0.8553447064881057
2.810521042084168,0.8507295949380391
2.8114228456913826,0.8459377325451458
2.8123246492985974,0.8409616972177523
2.8132264529058117,0.8358050603906719
2.814128256513026,0.8304633194783279
2.8150300601202405,0.8249365602649994
2.815931863727455,0.8192207783756028
2.8168336673346692,0.8133169501354024
2.8177354709418836,0.8072236550248789
2.818637274549098,0.8009384028641314
2.8195390781563128,0.7944602896832523
2.820440881763527,0.7877895588037779
2.8213426853707415,0.7809235940944244
2.822244488977956,0.7738655665432274
2.8231462925851702,0.7666131432544222
2.8240480961923846,0.7591657415058823
2.824949899799599,0.7515272030205422
2.825851703406814,0.7436969608204231
2.826753507014028,0.7356770838323256
2.8276553106212425,0.7274728477081691
2.828557114228457,0.7190849797406219
2.8294589178356713,0.710520921832182
2.8303607214428856,0.7017815135389845
2.8312625250501,0.6928750863274247
2.8321643286573144,0.6838074419034974
2.833066132264529,0.674584179046531
2.8339679358717436,0.6652171240739599
2.834869739478958,0.6557089751857217
2.8357715430861723,0.6460740366392056
2.8366733466933867,0.6363214381454053
2.837575150300601,0.6264560026257157
2.838476953907816,0.616500038611342
2.83937875751503,0.6064540688866591
2.8402805611222446,0.5963355371016524
2.841182364729459,0.5861578631239065
2.8420841683366733,0.5759319358671919
2.8429859719438877,0.565667048174255
2.843887775551102,0.5553810289352552
2.8447895791583164,0.5450854684643263
2.8456913827655312,0.53479138054046
2.8465931863727456,0.5245126901810149
2.84749498997996,0.5142559919890942
2.8483967935871743,0.5040432796883966
2.8492985971943887,0.4938776281622883
2.850200400801603,0.4837678587402796
2.8511022044088175,0.4737308642196682
2.8520040080160323,0.46376966325335733
2.8529058116232466,0.453894596811247
2.853807615230461,0.4441092881719857
2.8547094188376754,0.43442636988595584
2.8556112224448897,0.42484411409016304
2.856513026052104,0.4153705419979762
2.8574148296593185,0.40600778502185403
2.858316633266533,0.3967552531513194
2.8592184368737477,0.3876176797376082
2.860120240480962,0.3785921466597275
2.8610220440881764,0.369684891026672
2.8619238476953908,0.3608824146138928
2.862825651302605,0.35219262708500654
2.8637274549098195,0.3436083723733579
2.864629258517034,0.3351266506744215
2.8655310621242487,0.3267410202719612
2.866432865731463,0.3184515347727458
2.8673346693386774,0.31025063082400917
