D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
2.6315230460921843,0.7321781599022636
2.6355310621242487,0.6680463508812269
2.6395390781563126,0.5999795234053027
2.643547094188377,0.5296663215122714
2.647555110220441,0.45900147446990525
2.651563126252505,0.39005687317400417
2.655571142284569,0.3252001581007538
2.6595791583166335,0.2666909944211423
2.6635871743486974,0.21654059766670108
2.6675951903807613,0.17646981937834808
2.6716032064128257,0.14773489857271238
2.67561122244489,0.1309023352301138
2.679619238476954,0.12616268076251821
2.683627254509018,0.13306494219264994
2.687635270541082,0.1511285665550455
2.6916432865731466,0.17957781319849872
2.6956513026052105,0.21755933567202684
2.6996593186372744,0.26394219363951366
2.7036673346693387,0.3176083666027816
2.707675350701403,0.37698568705109325
2.711683366733467,0.4404035335018809
2.715691382765531,0.5060284272816559
2.7196993987975953,0.571989551116002
2.7237074148296596,0.6365251064631169
2.7277154308617235,0.6980799750257616
2.7317234468937874,0.7553584154928629
2.735731462925852,0.807327034709839
2.739739478957916,0.8531872870909057
2.74374749498998,0.8923455217973817
2.747755511022044,0.9244037048389253
2.7517635270541083,0.9491789319531548
2.7557715430861722,0.966732862549364
2.7597795591182366,0.9774470707908219
2.7637875751503005,0.9819749438164121
2.767795591182365,0.9812528630426953
2.7718036072144288,0.9764180567832154
2.775811623246493,0.9687052065098517
2.779819639278557,0.9593374237377602
2.7838276553106214,0.9494245613580711
2.7878356713426853,0.939892843751732
2.7918436873747496,0.9314486651214365
2.7958517034068135,0.924573643760435
2.799859719438878,0.9195441342195162
2.803867735470942,0.9164668689003584
2.807875751503006,0.9153153766741312
2.81188376753507,0.9159643268743053
2.8158917835671344,0.9182189376799696
2.8198997995991983,0.921830689527303
2.8239078156312627,0.9265148700468147
2.8279158316633266,0.9319553102638441
2.831923847695391,0.9378243960647951
2.835931863727455,0.943797061940303
2.8399398797595192,0.9495725275022521
2.843947895791583,0.9549018308857813
2.8479559118236475,0.9596007973782922
2.8519639278557114,0.9635648355829805
2.8559719438877753,0.9667656070139211
2.8599799599198397,0.9692375955187321
2.863987975951904,0.9710521543141075
2.867995991983968,0.9722929841647633
2.872004008016032,0.9730293630695339
2.876012024048096,0.9733002077519898
2.8800200400801605,0.9731093997308423
2.8840280561122245,0.9724275398529623
2.8880360721442884,0.9712058412230101
2.8920440881763527,0.9693906184042712
2.896052104208417,0.9669352808772669
2.900060120240481,0.9638124153332012
2.904068136272545,0.9600204046802486
2.9080761523046093,0.9555872378176739
2.9120841683366736,0.9505769557641558
2.9160921843687375,0.9450992904895341
2.9201002004008014,0.9393158211542634
2.924108216432866,0.9334536572170258
2.92811623246493,0.9278055384774242
2.932124248496994,0.9227249619836791
2.936132264529058,0.9186088636251623
2.9401402805611223,0.9158614554301467
2.9441482965931867,0.9148520835348345
2.9481563126252506,0.915859223253629
2.9521643286573145,0.9190363263140632
2.956172344689379,0.9243549841452144
2.960180360721443,0.9315985535102275
2.964188376753507,0.9403457774596443
2.968196392785571,0.9499958791360701
2.9722044088176354,0.959788317581077
2.9762124248496997,0.9688447313113977
2.9802204408817636,0.9762054483080446
2.9842284569138275,0.9808638999700081
2.988236472945892,0.981793120380468
2.9922444889779563,0.9779727475003348
2.99625250501002,0.9684202767347149
3.000260521042084,0.9522446847602567
3.0042685370741484,0.9287197131752689
3.0082765531062123,0.8973772562843302
3.0122845691382762,0.858112400113179
3.0162925851703406,0.811247101934457
3.020300601202405,0.7575686857919829
3.024308617234469,0.698286121307315
3.0283166332665328,0.6349308113587482
3.032324649298597,0.5691981899382805
3.0363326653306615,0.502815084980423
3.0403406813627254,0.43742129264171525
3.0443486973947893,0.3745097408696403
3.0483567134268537,0.31546636438173514
3.052364729458918,0.26161790408696817
3.056372745490982,0.21427400672187874
3.060380761523046,0.17476034256797512
3.06438877755511,0.14437524962742324
3.0683967935871745,0.12426926755740639
3.0724048096192385,0.11536024184637561
3.0764128256513024,0.11822874205642842
3.0804208416833667,0.13304247686304663
3.084428857715431,0.1595891564216765
3.088436873747495,0.19726704053494534
3.092444889779559,0.24516674388919762
3.0964529058116232,0.302063728875611
3.1004609218436876,0.36640532075156484
3.1044689378757515,0.4363233804155087
3.1084769539078154,0.5096231929317069
3.1124849699398798,0.5838510896027793
3.116492985971944,0.6564637353026654
3.120501002004008,0.7250043343793056
3.124509018036072,0.7873550617131355
3.1285170340681363,0.8419242248030431
3.1325250501002007,0.8877535569759848
3.1365330661322646,0.9245231128020738
3.1405410821643285,0.9524704085561441
3.144549098196393,0.9722234112869983
3.148557114228457,0.9846630492384898
3.152565130260521,0.9907714353442372
3.156573146292585,0.9915676571271997
3.1605811623246494,0.9880762925713741
3.1645891783567137,0.9813332311611005
3.1685971943887776,0.9723953552845129
3.1726052104208415,0.9623322189734503
3.176613226452906,0.9521944465544092
3.1806212424849702,0.9429470454965889
3.184629258517034,0.9354126655755588
3.188637274549098,0.9301924656951507
3.1926452905811624,0.9276349174799026
3.1966533066132268,0.9278077830265962
3.2006613226452907,0.930526332257868
3.2046693386773546,0.9353877188314913
3.208677354709419,0.9418477330647798
3.212685370741483,0.9492978322647295
3.2166933867735468,0.9571403318780598
3.220701402805611,0.9648515128693517
3.2247094188376755,0.9720156631081682
3.2287174348697394,0.9783402965079087
3.2327254509018033,0.9836347759452193
3.2367334669338677,0.9877882468979502
3.240741482965932,0.9907423308909872
3.244749498997996,0.9924742288779175
3.24875751503006,0.9929971757719205
3.252765531062124,0.9923742243215561
3.2567735470941885,0.99073525034067
3.2607815631262524,0.9882891367213679
3.2647895791583164,0.9853257323927398
3.2687975951903807,0.9821835470509289
3.272805611222445,0.979222128136096
3.276813627254509,0.9767695611486082
3.280821643286573,0.9750792730037352
3.2848296593186372,0.9742989718296425
3.2888376753507016,0.9744532990412111
3.2928456913827655,0.9754561983909745
3.2968537074148294,0.9771357585643627
3.3008617234468938,0.9792727694995409
3.304869739478958,0.9816406871943733
3.308877755511022,0.9840403223550307
3.312885771543086,0.9863204821459738
3.3168937875751503,0.9883830675954954
3.3209018036072147,0.9901717297406211
3.3249098196392786,0.9916551439518877
3.3289178356713425,0.9928076310223404
3.332925851703407,0.9935981279868231
3.336933867735471,0.9939893093821911
3.340941883767535,0.9939497633581995
3.344949899799599,0.9934716853049097
3.3489579158316634,0.9925899308815885
3.3529659318637277,0.9913919436843418
3.3569739478957916,0.9900160801436133
3.3609819639278555,0.9886350909359709
3.36498997995992,0.987428827659294
3.3689979959919842,0.9865539807109105
3.373006012024048,0.9861153038959225
3.377014028056112,0.9861498824257371
3.3810220440881764,0.9866236447137188
3.3850300601202408,0.987445245475409
3.3890380761523047,0.9884882791363935
3.3930460921843686,0.9896196381051499
3.397054108216433,0.9907247422657499
3.4010621242484973,0.9917245654069852
3.405070140280561,0.9925798248004671
3.409078156312625,0.9932857255632556
3.4130861723446895,0.9938514430458836
3.4170941883767534,0.9942922297941922
3.4211022044088173,0.994607234541251
3.4251102204408816,0.9947788498164734
3.429118236472946,0.9947778905505251
3.43312625250501,0.9945764761186495
3.437134268537074,0.9941649523912596
3.441142284569138,0.993565934073044
3.4451503006012025,0.9928395546323168
3.4491583166332664,0.9920790495343111
3.4531663326653304,0.9913943689325645
3.4571743486973947,0.9908915815285164
3.461182364729459,0.9906497245602952
3.465190380761523,0.9907048509438693
3.469198396793587,0.9910424762385494
3.4732064128256512,0.9916033875039721
3.4772144288577156,0.9922972560537624
3.4812224448897795,0.9930257088261598
3.4852304609218434,0.9937020641253799
3.4892384769539078,0.9942669988615032
3.493246492985972,0.9946961984779635
3.497254509018036,0.9949965782298169
3.5012625250501,0.9951943061565621
3.5052705410821643,0.9953199032118548
3.5092785571142286,0.9953938280430356
3.5132865731462926,0.9954187881140109
3.5172945891783565,0.9953794104534107
3.521302605210421,0.9952512612197081
3.525310621242485,0.9950138568396125
3.529318637274549,0.9946644327882561
3.533326653306613,0.9942269429972405
3.5373346693386774,0.9937532849086772
3.5413426853707417,0.9933151570524185
3.5453507014028056,0.9929892301458352
3.5493587174348695,0.99283890089098
3.553366733466934,0.992901022865045
3.5573747494989982,0.9931719652731591
3.561382765531062,0.9936122362800613
3.565390781563126,0.9941537900743966
3.5693987975951904,0.99471598735545
3.5734068136272548,0.9952241342905892
3.5774148296593187,0.9956242890302404
3.5814228456913826,0.9958922865508416
3.585430861723447,0.9960336228434771
3.5894388777555113,0.9960756179696745
3.593446893787575,0.9960548131813254
3.597454909819639,0.9960030691912702
3.6014629258517035,0.9959363831343961
3.605470941883768,0.9958537398658138
3.6094789579158317,0.9957391300895884
3.6134869739478956,0.9955721672111381
3.61749498997996,0.9953402297781582
3.621503006012024,0.9950485468102346
3.625511022044088,0.9947247514297946
3.629519038076152,0.9944162676735989
3.6335270541082165,0.9941803740430146
3.6375350701402804,0.9940704801125132
3.6415430861723443,0.9941217509346798
3.6455511022044087,0.9943406728546031
3.649559118236473,0.9947028634709386
3.653567134268537,0.9951558658890965
3.657575150300601,0.995632550713076
3.6615831663326652,0.9960656903720362
3.6655911823647296,0.9964022189883067
3.6695991983967935,0.9966138655618546
3.6736072144288574,0.9966999216041036
3.6776152304609218,0.9966826438937636
3.681623246492986,0.9965977905455506
3.68563126252505,0.9964813583364102
3.689639278557114,0.9963593007684844
3.6936472945891783,0.9962412221658076
3.6976553106212426,0.9961206447766983
3.7016633266533066,0.9959816534357592
3.7056713426853705,0.9958088413835264
3.709679358717435,0.9955973086037232
3.713687374749499,0.9953595454210553
3.717695390781563,0.9951255974163794
3.721703406813627,0.9949391232166382
3.7257114228456913,0.9948446036019879
3.7297194388777557,0.9948766874696267
3.7337274549098196,0.9950490264476147
3.7377354709418835,0.9953485323833255
3.741743486973948,0.9957366110773404
3.7457515030060122,0.9961575527565422
3.749759519038076,0.9965508870140355
3.75376753507014,0.996863872802529
3.7577755511022044,0.9970635710316235
3.7617835671342688,0.9971411041659473
3.7657915831663327,0.9971118677334843
3.7697995991983966,0.9970067015568578
3.773807615230461,0.9968618918081981
3.7778156312625253,0.9967084920800882
3.781823647294589,0.996564692232537
